Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"f8f548fa-3586-e411-b7a3-0026b9f9e50c","Trubridge Insurance","North Canton","OH","","40.87583","-81.39888","179328.78","171128.78"
"c0c1bbe0-e364-e211-92f3-0026b9f9e50c","Trunk Club","Chicago","IL","USA","41.89534","-87.63628","3937.50","0.00"
"a304732a-4771-e211-92f3-0026b9f9e50c","Trunk Club","Chicago","Illinois","United States","41.89211","-87.63663","0.00","0.00"
"0f295c03-010d-df11-a75b-00101826f7f4","Trustwave","Chicago","IL","United States","41.88231","-87.63022","211879.65","23312.50"
"cc04732a-4771-e211-92f3-0026b9f9e50c","Tuthill Corporation","Burr Ridge","Illinois","United States","41.73463","-87.9369","301105.28","16416.25"
"5059a32f-b89d-e411-80ba-00155dfc3b0a","Tuthill Transfer Systems","Fort Wayne","IN","","41.00336","-85.19984","27498.75","23906.25"
"ddbd8928-f365-dc11-ab02-00101826f7f4","Uhlmann Price Securities, LLC","Chicago","IL","USA","41.87772","-87.63228","51266.50","0.00"
"8a6827ba-2225-e211-bb4e-0026b9f9e50c","Ulbrich","North Haven","CT","","41.39742","-72.85391","57041.25","12046.25"
"76bfb1da-ebe9-db11-882b-0003ff9e2b47","United Center","Chicago","IL","USA","41.88062","-87.67476","1829763.75","28473.75"
"b7fa1798-56e1-db11-8eef-0003ff9e2b47","USG Corporation","Chicago","IL","USA","41.87941","-87.64144","46388.15","0.00"
"3a10d316-7604-41c8-96a3-dbd394a248b7","Valerus","Houston","TX","","29.758","-95.36602","28797.50","951.25"
"cd40b495-e3e0-4499-99a7-ee7b2fafec11","ValleyCrest Companies","Calabasas","CA","","34.15335","-118.65377","801256.41","13125.00"
"68feb950-fe7e-e411-b7a3-0026b9f9e50c","Van Meter, Inc","","","","0","0","0.00","0.00"
"cc70eb06-29d8-4217-b797-54f8954847c8","Ventas Inc","Chicago","Illinois","United States","41.88853","-87.63098","827.50","827.50"
"8474e937-852f-e311-8486-0026b9f9e50c","Victaulic Company","Easton","PA","US","40.75903","-75.2308","13225.00","0.00"
